Title,Author,Genre,Skill_Level,Available,Location
"Python Crash Course","Eric Matthes","Programming","Beginner","Yes","Shelf A1"
"Automate the Boring Stuff with Python","Al Sweigart","Programming","Beginner","Yes","Shelf A2"
"Learn Python the Hard Way","Zed A. Shaw","Programming","Beginner","No","Shelf A3"
"Fluent Python","Luciano Ramalho","Programming","Advanced","Yes","Shelf A4"
"Effective Python","Brett Slatkin","Programming","Intermediate","Yes","Shelf A5"
"Clean Code","Robert C. Martin","Programming","Advanced","No","Shelf B1"
"Code Complete","Steve McConnell","Programming","Advanced","Yes","Shelf B2"
"The Pragmatic Programmer","Andrew Hunt, David Thomas","Programming","Intermediate","Yes","Shelf B3"
"Refactoring: Improving the Design of Existing Code","Martin Fowler","Software Development","Intermediate","Yes","Shelf B4"
"Design Patterns","Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","Software Development","Advanced","No","Shelf B5"
"Data Science from Scratch","Joel Grus","Data Science","Intermediate","Yes","Shelf C1"
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Aurélien Géron","AI/ML","Intermediate","Yes","Shelf C2"
"Introduction to Machine Learning","Ethem Alpaydin","AI/ML","Beginner","Yes","Shelf C3"
"Deep Learning","Ian Goodfellow","AI/ML","Advanced","No","Shelf C4"
"Artificial Intelligence: A Modern Approach","Stuart Russell, Peter Norvig","AI/ML","Advanced","Yes","Shelf C5"
"Database System Concepts","Silberschatz, Korth, Sudarshan","Database","Intermediate","Yes","Shelf D1"
"SQL for Data Analysis","Cathy Tanimura","Database","Beginner","Yes","Shelf D2"
"MongoDB: The Definitive Guide","Kristina Chodorow","Database","Intermediate","No","Shelf D3"
"The Art of Computer Programming","Donald Knuth","Computer Science","Advanced","No","Shelf D4"
"Computer Networking: A Top-Down Approach","James F. Kurose, Keith W. Ross","Networking","Intermediate","Yes","Shelf D5"
"Operating System Concepts","Silberschatz, Galvin, Gagne","Computer Science","Advanced","Yes","Shelf E1"
"Computer Organization and Design","David A. Patterson, John L. Hennessy","Computer Science","Intermediate","Yes","Shelf E2"
"Introduction to Algorithms","Cormen, Leiserson, Rivest, Stein","Algorithms","Advanced","No","Shelf E3"
"JavaScript: The Good Parts","Douglas Crockford","Web Development","Intermediate","No","Shelf E4"
"Eloquent JavaScript","Marijn Haverbeke","Web Development","Intermediate","Yes","Shelf E5"
"HTML and CSS: Design and Build Websites","Jon Duckett","Web Development","Beginner","Yes","Shelf F1"
"Web Development with Django","William S. Vincent","Web Development","Beginner","Yes","Shelf F2"
"Fullstack Vue","Hassan Djirdeh","Web Development","Intermediate","Yes","Shelf F3"
"The Lean Startup","Eric Ries","Entrepreneurship","All","Yes","Shelf F4"
"Zero to One","Peter Thiel","Entrepreneurship","All","Yes","Shelf F5"
"Atomic Habits","James Clear","Self-help","All","Yes","Shelf G1"
"The Power of Habit","Charles Duhigg","Self-help","All","Yes","Shelf G2"
"Deep Work","Cal Newport","Self-help","All","Yes","Shelf G3"
"Thinking, Fast and Slow","Daniel Kahneman","Psychology","All","Yes","Shelf G4"
"Influence: The Psychology of Persuasion","Robert Cialdini","Psychology","All","Yes","Shelf G5"
"Digital Marketing for Dummies","Ryan Deiss, Russ Henneberry","Marketing","Beginner","Yes","Shelf H1"
"Marketing 4.0","Philip Kotler","Marketing","Intermediate","Yes","Shelf H2"
"Blue Ocean Strategy","W. Chan Kim, Renée Mauborgne","Business","All","Yes","Shelf H3"
"Good to Great","Jim Collins","Business","All","Yes","Shelf H4"
"Algorithms to Live By","Brian Christian, Tom Griffiths","Computer Science","All","Yes","Shelf H5"
"Sapiens: A Brief History of Humankind","Yuval Noah Harari","History","All","Yes","Shelf I1"
"Homo Deus","Yuval Noah Harari","History","All","Yes","Shelf I2"
"Why Nations Fail","Daron Acemoglu, James A. Robinson","History","All","Yes","Shelf I3"
"A Brief History of Time","Stephen Hawking","Science","All","Yes","Shelf I4"
"The Elegant Universe","Brian Greene","Science","All","Yes","Shelf I5"
"The Selfish Gene","Richard Dawkins","Biology","All","Yes","Shelf J1"
"The Origin of Species","Charles Darwin","Biology","All","Yes","Shelf J2"
"Cosmos","Carl Sagan","Science","All","Yes","Shelf J3"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","Science","All","Yes","Shelf J4"
"Philosophy: The Basics","Nigel Warburton","Philosophy","All","Yes","Shelf J5"
"Thus Spoke Zarathustra","Friedrich Nietzsche","Philosophy","All","Yes","Shelf K1"
"Beyond Good and Evil","Friedrich Nietzsche","Philosophy","All","Yes","Shelf K2"
"Meditations","Marcus Aurelius","Philosophy","All","Yes","Shelf K3"
"The Republic","Plato","Philosophy","All","Yes","Shelf K4"
"The Brothers Karamazov","Fyodor Dostoevsky","Literature","All","Yes","Shelf K5"
"1984","George Orwell","Literature","All","Yes","Shelf L1"
"To Kill a Mockingbird","Harper Lee","Literature","All","Yes","Shelf L2"
"Pride and Prejudice","Jane Austen","Literature","All","Yes","Shelf L3"
"The Great Gatsby","F. Scott Fitzgerald","Literature","All","Yes","Shelf L4"
"War and Peace","Leo Tolstoy","Literature","All","Yes","Shelf L5"
"Crime and Punishment","Fyodor Dostoevsky","Literature","All","Yes","Shelf M1"
"Brave New World","Aldous Huxley","Literature","All","Yes","Shelf M2"
"The Catcher in the Rye","J.D. Salinger","Literature","All","Yes","Shelf M3"
